id;cne;etat_professionnel;photo_cne_pile;photo_cne_pile_content_type;photo_cne_face;photo_cne_face_content_type;photo_cv;photo_cv_content_type;annee_inscription;etat_dossier;cin;date_naissance;lieu_naissance;nationalite;adresse;numero_telephone;genre;nom_arabe;prnom_arabe
1;Versatile magenta;0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;36198;12408;Steel Rustic hack;2022-03-16T05:30:58;Buckinghamshire Frozen;function;Fiji Directeur navigating;88219;Berkshire Music vortals;Soft;visionary haptic Berkshire
2;protocol;0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;34857;46153;e-markets microchip Tasty;2022-03-15T18:42:42;b;generation;b indigo Soap;60367;cutting-edge;Midi-Pyrénées generating collaboration;facilitate Borders
3;Iran COM;3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;18995;37165;Lempira Account monitor;2022-03-16T07:29:35;a Latvian SSL;Granite JSON Laos;matrix drive;614;moratorium;Automotive panel invoice;24/7 redundant
4;Lorraine Concrete;3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;91678;59993;plum blue;2022-03-16T08:07:43;Tasty;redundant Bike;online deposit;84892;online;content-based;base proactive
5;Account feed;0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;58439;13250;fuchsia Account Chicken;2022-03-15T19:23:31;Maurice Incredible;Intelligent;Configurable cross-media;59580;paradigms;Loan invoice redefine;deposit
6;Shoes;0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;26972;23513;copy transmitter;2022-03-15T17:09:34;Computer;a mission-critical;COM Bedfordshire;18878;Market Outdoors Bacon;mobile GB enhance;niches Account Stand-alone
7;compress orchid;0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;55249;3963;functionalities;2022-03-16T07:05:30;Concrete orange;Unbranded Salad Pants;bricks-and-clicks;33531;GB;Chips;blue Namibia bleeding-edge
8;Exclusive;0;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;42061;47114;a;2022-03-16T02:24:38;neural Producteur;b generating;Granite;15977;b Borders;invoice Shirt;payment withdrawal
9;functionalities Automated array;3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;78644;84255;purple;2022-03-16T05:49:25;function 24/365 Poitou-Charentes;static;Tasty paradigms Pastourelle;63141;Intelligent Account;Table global Soft;Savings extranet Superviseur
10;17(E.U.A.-17) Automotive;2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;40687;54186;Rupee;2022-03-16T02:45:06;protocol Concrete Clothing;des Granite Qatar;Rubber;22058;Generic turn-key;haptic redundant bypass;cross-platform
